Dijkstra;Ford-Bellman;Prim;Kruskal
0.002475;0.004186;0.000873;0.006592
0.002058;0.003584;0.001011;0.011712
0.002033;0.004025;0.001304;0.012456
0.002136;0.004896;0.000948;0.006903
0.002444;0.0044;0.001046;0.009807
0.00164;0.003461;0.000814;0.007222
0.002271;0.004124;0.001223;0.008488
0.001953;0.003988;0.001348;0.009772
0.001573;0.00439;0.00107;0.013866
0.0026;0.005334;0.001221;0.006423
0.002588;0.004029;0.000977;0.007747
0.001916;0.004009;0.001286;0.010631
0.001546;0.002963;0.001527;0.007648
0.002001;0.004606;0.000929;0.007838
0.002315;0.004886;0.001262;0.008958
0.001913;0.003208;0.000943;0.007482
0.002446;0.005687;0.001157;0.008689
0.002229;0.004102;0.000819;0.008091
0.001689;0.00358;0.000965;0.007258
0.002407;0.004341;0.001063;0.008553
0.001853;0.003619;0.001034;0.007961
0.001878;0.003464;0.001635;0.012749
0.00235;0.004435;0.001012;0.008209
0.001937;0.003936;0.001123;0.013049
0.002064;0.004353;0.000972;0.009591
0.002285;0.003863;0.001071;0.013269
0.002135;0.003985;0.001247;0.009696
0.003169;0.003779;0.001706;0.007795
0.001698;0.003502;0.001037;0.008267
0.001938;0.003583;0.001035;0.009031
0.001609;0.003013;0.001223;0.006659
0.003847;0.005322;0.001733;0.010605
0.001754;0.003677;0.001827;0.008378
0.00261;0.003874;0.002308;0.016608
0.001685;0.003876;0.001178;0.00816
0.001833;0.007087;0.001169;0.008117
0.001775;0.003579;0.000902;0.007721
0.001789;0.004005;0.001096;0.008438
0.001894;0.00429;0.001254;0.009802
0.002743;0.003712;0.001016;0.007749
0.00276;0.005267;0.001327;0.014545
0.001895;0.003904;0.001488;0.009364
0.001564;0.003472;0.000874;0.007298
0.001948;0.004193;0.001302;0.008849
0.001851;0.00374;0.001174;0.008294
0.001821;0.004337;0.000994;0.01058
0.00478;0.00653;0.002833;0.011767
0.002412;0.003805;0.001171;0.009567
0.001623;0.003494;0.000996;0.008321
0.002645;0.004826;0.00136;0.008565
0.002908;0.004153;0.000973;0.008739
0.003249;0.004533;0.001003;0.00753
0.002638;0.003517;0.000835;0.008015
0.004069;0.005529;0.001543;0.011054
0.002209;0.00439;0.001198;0.009744
0.002358;0.004253;0.001402;0.012642
0.001375;0.003043;0.000781;0.007925
0.001762;0.003493;0.000949;0.007652
0.002761;0.004944;0.001003;0.008072
0.001748;0.003696;0.00133;0.008662
0.004219;0.005462;0.001637;0.012411
0.001548;0.003065;0.000827;0.007348
0.00173;0.004117;0.00147;0.008137
0.001738;0.003569;0.00145;0.008735
0.002136;0.00357;0.000991;0.00827
0.005003;0.005028;0.000901;0.007707
0.001896;0.003929;0.000927;0.010153
0.001482;0.003129;0.00078;0.006863
0.002072;0.004037;0.001284;0.008231
0.00186;0.00378;0.003622;0.008127
0.003099;0.004157;0.00102;0.007582
0.001399;0.003432;0.000787;0.007994
0.001781;0.003611;0.001371;0.007147
0.002851;0.004751;0.001117;0.010495
0.002252;0.003772;0.00092;0.008624
0.002043;0.004239;0.000958;0.009533
0.001665;0.003977;0.000775;0.007286
0.002;0.003694;0.001486;0.011498
0.002041;0.003818;0.00088;0.006883
0.00177;0.003602;0.000952;0.01123
0.001712;0.003896;0.000857;0.007942
0.001887;0.003849;0.000801;0.008492
0.00212;0.004569;0.001212;0.008605
0.002027;0.003682;0.000905;0.007652
0.002327;0.004598;0.001272;0.008404
0.001769;0.003627;0.001036;0.008908
0.002399;0.003848;0.001111;0.00758
0.00221;0.003994;0.001393;0.01039
0.002275;0.004017;0.000941;0.007218
0.002045;0.00453;0.001131;0.009634
0.004126;0.004533;0.001098;0.007961
0.001414;0.002978;0.000835;0.007105
0.002695;0.005272;0.001069;0.007951
0.001872;0.003745;0.001029;0.008809
0.002448;0.004338;0.001101;0.007502
0.002057;0.003695;0.001017;0.01005
0.001825;0.003806;0.00086;0.007997
0.002099;0.004242;0.001096;0.008903
0.002463;0.004512;0.001274;0.009979
0.001788;0.003105;0.0012;0.006946
