Dijkstra;Ford-Bellman;Prim;Kruskal
0.053601;0.245941;0.033542;1.07328
0.053812;0.225982;0.032915;1.05344
0.055819;0.244609;0.033317;1.04843
0.063848;0.271823;0.041458;1.07441
0.072448;0.321837;0.04184;1.11256
0.059695;0.244668;0.032754;1.19634
0.054315;0.22942;0.035126;1.10916
0.056786;0.231915;0.033762;1.06849
0.056181;0.271972;0.033045;1.09828
0.15757;1.19279;0.12592;4.84957
0.092692;0.515467;0.075228;2.86575
0.113058;0.545654;0.057994;1.82775
0.083605;0.28059;0.040983;1.2371
0.057005;0.246402;0.047928;1.17872
0.057689;0.249452;0.044666;1.36568
0.058645;0.251542;0.031788;1.24001
0.067197;0.234722;0.03191;1.23092
0.062888;0.300914;0.035618;1.28713
0.072535;0.227411;0.03367;1.05408
0.066124;0.242923;0.041484;1.05871
0.052528;0.234513;0.045632;1.04885
0.053844;0.240736;0.043696;1.1683
0.054804;0.227738;0.041141;1.10103
0.061172;0.261106;0.032092;1.12668
0.05576;0.255182;0.031918;1.03235
0.056751;0.288694;0.038281;1.12457
0.065004;0.233115;0.036343;1.06011
0.075763;0.341044;0.031491;1.33508
0.055125;0.246832;0.039247;1.04645
0.06523;0.226174;0.032124;1.15993
0.06556;0.230082;0.031081;1.05853
0.057406;0.236625;0.036289;1.05036
0.055644;0.227143;0.032762;1.0534
0.053479;0.240238;0.032935;1.02982
0.051063;0.222342;0.039222;1.08833
0.060051;0.235693;0.032558;1.10227
0.053393;0.276097;0.034265;1.01369
0.051187;0.231177;0.031344;1.02379
0.060182;0.227803;0.036764;1.06933
0.071062;0.318746;0.033653;1.14907
0.062136;0.244305;0.033088;1.05138
0.193649;0.637673;0.059996;2.2932
0.059622;0.23452;0.035514;1.72954
0.090464;0.690574;0.05381;1.38809
0.051722;0.231417;0.032733;1.03448
0.055968;0.228042;0.033305;1.13096
0.07817;0.347023;0.048329;1.14383
0.066829;0.272564;0.032845;1.2679
0.095588;0.730714;0.04623;1.32831
0.066717;0.267736;0.059958;1.50137
0.068641;0.238103;0.034832;1.20777
0.053191;0.240133;0.04264;1.0996
0.054284;0.234409;0.044346;1.06189
0.054268;0.24218;0.035268;1.04835
0.061095;0.243143;0.042902;1.06059
0.061702;0.251057;0.035093;1.13206
0.052567;0.227613;0.037139;1.12649
0.06055;0.265965;0.036413;1.88077
0.067138;0.22727;0.032745;1.0501
0.057057;0.235079;0.041557;1.09161
0.066854;0.238389;0.035635;1.14408
0.061283;0.224458;0.032635;1.12149
0.056499;0.242341;0.036991;1.13651
0.065567;0.284223;0.044039;2.0399
0.053647;0.224324;0.034999;1.04745
0.061636;0.223762;0.031491;1.15654
0.056618;0.229924;0.034102;1.07772
0.052307;0.227333;0.0326;1.10891
0.056533;0.234267;0.03411;1.02671
0.073646;0.346455;0.053562;1.71265
0.054299;0.233153;0.048938;1.47542
0.117523;0.355259;0.036962;1.34251
0.060011;0.241271;0.032779;1.05259
0.057287;0.245991;0.03519;1.70531
0.071378;0.242475;0.039059;1.18997
0.088641;0.311277;0.043322;1.67893
0.119321;0.427227;0.032411;1.39028
0.063809;0.225448;0.035677;1.09774
0.056703;0.240462;0.033229;1.07285
0.058919;0.229881;0.033381;1.0748
0.060617;0.243541;0.033721;1.05514
0.065568;0.253765;0.034714;1.06286
0.054795;0.22599;0.03579;1.03815
0.0738;0.248461;0.033575;1.07657
0.062087;0.244064;0.03298;1.04674
0.068238;0.281912;0.042513;1.05755
0.060966;0.297744;0.044827;1.3653
0.057854;0.223195;0.036158;1.02414
0.078936;0.396466;0.042897;1.21725
0.051925;0.232811;0.033138;1.08561
0.0665;0.222402;0.037399;1.09369
0.054478;0.238917;0.035529;1.12658
0.056574;0.270995;0.031858;1.08827
0.048794;0.224343;0.037788;1.06791
0.099396;0.338456;0.062401;2.15655
0.060688;0.227844;0.035037;1.08999
0.054636;0.22888;0.05303;1.08114
0.054761;0.234506;0.033231;1.06004
0.057886;0.234878;0.032825;1.10032
0.053011;0.22934;0.036783;1.07852
