Dijkstra;Ford-Bellman;Prim;Kruskal
0.068911;0.30517;0.048431;2.36941
0.071009;0.288189;0.043125;2.36988
0.083909;0.271109;0.04456;2.26106
0.057997;0.308866;0.04815;2.24153
0.079012;0.334049;0.071857;2.83207
0.073479;0.342085;0.045287;2.44167
0.066361;0.269272;0.044976;2.38057
0.135726;0.489881;0.046113;2.37046
0.078186;0.267583;0.043872;2.64226
0.142091;0.691484;0.052627;4.50003
0.129323;0.646919;0.079279;4.27999
0.166163;0.614031;0.066284;3.51422
0.084888;0.316175;0.050115;2.6744
0.067039;0.275231;0.091068;2.60816
0.090283;0.334642;0.070253;3.05782
0.064415;0.271422;0.04337;2.51242
0.081035;0.279065;0.045754;2.40031
0.076218;0.269651;0.058311;2.85259
0.094035;0.397835;0.051132;2.25949
0.079475;0.264139;0.042584;2.28434
0.067274;0.278274;0.050677;2.38142
0.066034;0.316095;0.049262;2.40443
0.098941;0.333396;0.052341;2.64911
0.081335;0.302098;0.046589;2.5944
0.065242;0.278222;0.055203;2.57028
0.064549;0.289667;0.048613;2.40678
0.075773;0.28604;0.047995;2.39263
0.079172;0.342848;0.049841;2.51037
0.080206;0.269701;0.052082;2.33419
0.085726;0.321387;0.05447;2.4751
0.070631;0.258674;0.043655;2.35615
0.072163;0.259657;0.041843;2.38259
0.063186;0.275509;0.045489;2.32097
0.060423;0.268577;0.053508;2.2823
0.068336;0.263029;0.042232;2.22032
0.064785;0.264676;0.051507;2.28745
0.061281;0.327367;0.055388;2.62426
0.066796;0.263313;0.045011;2.3047
0.062458;0.309813;0.054052;3.33212
0.069406;0.294582;0.064848;4.30739
0.072779;0.2683;0.046702;2.65485
0.057572;0.27745;0.045473;2.31289
0.085192;0.747133;0.055582;3.34131
0.074576;0.292017;0.042528;2.53479
0.078182;0.289355;0.062107;2.96344
0.081199;0.295549;0.054324;3.72201
0.069975;0.275933;0.045678;2.65652
0.07073;0.279647;0.070487;3.71564
0.100988;0.351493;0.04599;2.49494
0.06498;0.306136;0.045602;2.37495
0.104146;0.468941;0.064553;3.48003
0.075015;0.272851;0.047567;2.41389
0.067094;0.279384;0.04526;2.56917
0.071501;0.26467;0.044866;2.30564
0.066911;0.274778;0.048295;2.38193
0.096099;0.371161;0.047819;4.54678
0.069881;0.289604;0.04365;3.64308
0.381378;0.641048;0.056825;2.44137
0.085776;0.340965;0.090328;2.7289
0.070522;0.267034;0.053835;2.4276
0.068979;0.309787;0.04409;3.46929
0.070836;0.272595;0.05414;2.46963
0.099775;0.395184;0.094867;2.95841
0.072745;0.314634;0.044099;2.77419
0.079343;0.304804;0.048115;2.64595
0.070071;0.266906;0.047041;2.3787
0.06837;0.273602;0.05659;2.43183
0.064519;0.271819;0.057616;2.29746
0.07707;0.27124;0.04334;2.26485
0.095439;0.37348;0.050863;2.34419
0.09131;0.3597;0.044174;2.46575
0.066205;0.268122;0.042142;2.33054
0.076067;0.279368;0.046041;2.35046
0.097856;0.614232;0.091006;2.77331
0.068871;0.268703;0.044073;2.56461
0.073675;0.26439;0.044657;2.32745
0.074778;0.274404;0.05655;3.4738
0.079193;0.368099;0.045793;2.36201
0.068202;0.273039;0.054692;2.57396
0.068358;0.305609;0.064814;2.33138
0.07231;0.282257;0.044319;2.27195
0.066699;0.279447;0.053377;2.30398
0.067122;0.313284;0.04677;2.27868
0.071605;0.286015;0.044031;2.3286
0.067199;0.275773;0.046196;2.36808
0.082716;0.270545;0.059132;2.31348
0.086635;0.342666;0.055116;2.96939
0.075109;0.325691;0.059415;2.9522
0.086483;0.284835;0.050703;2.28026
0.105603;0.542031;0.065845;3.49077
0.070866;0.285705;0.049606;2.64817
0.0697;0.291916;0.044926;2.5953
0.075223;0.275772;0.06083;2.4369
0.064808;0.312704;0.045852;2.33431
0.070767;0.271741;0.048633;2.43327
0.073148;0.281808;0.0479;2.34029
0.063486;0.26956;0.04342;2.29922
0.07698;0.314317;0.043172;2.27677
0.088179;0.277672;0.049118;2.36151
0.058324;0.291937;0.044178;2.31293
