Dijkstra;Ford-Bellman;Prim;Kruskal
0.096582;0.375679;0.053621;2.41676
0.090169;0.359288;0.056959;2.45099
0.064956;0.30804;0.055714;2.3447
0.077975;0.360054;0.045094;2.3105
0.072908;0.300436;0.04756;2.49439
0.094915;0.319597;0.05261;2.38628
0.073031;0.35209;0.042088;2.33758
0.069115;0.36709;0.074074;2.63056
0.089387;0.338867;0.052555;2.39883
0.08016;0.376123;0.061116;3.13653
0.130378;0.542278;0.065461;3.7866
0.088584;0.343413;0.064607;3.48735
0.095978;0.36139;0.046762;2.70314
0.070143;0.302125;0.044419;2.87332
0.080272;0.355957;0.047255;2.3137
0.065329;0.349488;0.046141;2.38922
0.105292;0.458714;0.047446;2.28824
0.109946;0.356409;0.046885;2.36434
0.070628;0.32869;0.057972;2.44264
0.079377;0.29976;0.043643;2.26802
0.066588;0.314864;0.050144;2.27689
0.070762;0.346118;0.043395;2.37111
0.065237;0.307471;0.049813;2.29044
0.068723;0.335405;0.043535;2.43316
0.071325;0.379296;0.044059;2.34447
0.07746;0.319924;0.045768;2.40559
0.075289;0.3139;0.047918;2.69037
0.098308;0.505529;0.051132;2.62362
0.077237;0.312787;0.043058;2.31229
0.067258;0.352134;0.059225;2.74285
0.064841;0.301063;0.04608;2.25837
0.061856;0.297526;0.041808;2.2864
0.06886;0.307439;0.046248;2.2412
0.067366;0.305956;0.041808;2.28282
0.069927;0.309726;0.045205;2.28073
0.069916;0.312923;0.043293;2.32476
0.076919;0.302948;0.051422;2.37497
0.148196;0.313578;0.045254;2.44518
0.092627;0.34846;0.043799;2.91332
0.073298;0.302137;0.042628;2.31189
0.066861;0.332726;0.044844;2.73729
0.096365;0.304609;0.043328;3.06756
0.082835;0.388091;0.054457;2.42325
0.094296;0.444369;0.052127;2.35928
0.080812;0.326525;0.04317;2.44501
0.069996;0.324075;0.044546;3.79633
0.117968;0.497066;0.067289;2.97941
0.106753;0.383685;0.051884;3.6845
0.063191;0.312241;0.052725;2.69521
0.078017;0.330105;0.058416;2.66839
0.07502;0.307304;0.063015;2.84839
0.090963;0.321545;0.04608;2.34383
0.06883;0.310085;0.042199;2.27772
0.078297;0.312103;0.043364;2.46518
0.080634;0.38755;0.059459;2.60976
0.074536;0.309948;0.055382;2.43622
0.088277;0.328279;0.053147;2.6108
0.085555;0.318591;0.056884;3.85246
0.075872;0.337498;0.088262;4.95938
0.068728;0.324688;0.046168;2.34831
0.115098;0.36978;0.044692;2.80018
0.08886;0.385188;0.044558;2.33153
0.08559;0.308674;0.065028;2.80423
0.090903;0.371385;0.046433;2.47902
0.073563;0.320395;0.052562;2.3563
0.113819;0.417314;0.06608;3.56179
0.068624;0.301944;0.045205;2.60201
0.069356;0.294174;0.04376;2.24517
0.083726;0.317934;0.050877;2.29077
0.091106;0.523214;0.049376;2.28591
0.091801;0.368129;0.044055;2.33709
0.077252;0.295461;0.044627;2.32043
0.076477;0.322185;0.05645;2.30324
0.070687;0.30763;0.044539;2.44113
0.084317;0.778681;0.058912;2.61447
0.06654;0.308546;0.064157;3.5839
0.08726;0.314063;0.056373;3.44448
0.102619;0.497938;0.058466;2.58561
0.104932;0.661677;0.052417;3.11219
0.071766;0.344448;0.048805;2.32417
0.109259;0.559938;0.053422;2.43499
0.075483;0.308649;0.043897;2.29305
0.107876;0.690027;0.092224;4.31498
0.073144;0.310106;0.046689;2.33248
0.075034;0.310478;0.045358;2.41266
0.069488;0.295312;0.04671;2.34353
0.092733;0.392007;0.067039;2.50134
0.101098;0.427177;0.050089;2.51709
0.075511;0.44457;0.060879;3.90482
0.067723;0.343569;0.0509;2.43168
0.117782;0.389482;0.061881;2.45777
0.09094;0.382287;0.043122;2.36135
0.081019;0.343959;0.045389;2.39154
0.067185;0.320741;0.047245;2.53578
0.069942;0.317679;0.044997;2.33399
0.075236;0.405655;0.050142;2.32414
0.077002;0.366669;0.042054;2.3134
0.069097;0.304778;0.047931;2.35222
0.065754;0.32167;0.053249;2.2891
0.080356;0.312624;0.046954;2.49448
