Dijkstra;Ford-Bellman;Prim;Kruskal
0.206695;1.54904;0.11163;5.12565
0.084927;1.04413;0.08043;2.46386
0.084192;1.06057;0.081382;2.52002
0.080317;1.01527;0.065793;2.51544
0.092833;1.03533;0.061455;2.47263
0.115601;1.27504;0.064778;2.53355
0.079745;1.07624;0.111116;3.23331
0.098444;1.20103;0.15506;3.80191
0.221024;1.64649;0.063246;2.57595
0.138305;1.09061;0.062946;2.55313
0.086587;1.05409;0.064784;2.48629
0.080071;0.998697;0.072154;2.63174
0.084771;1.05349;0.069037;2.45991
0.09606;1.0657;0.064567;2.48195
0.106092;1.07166;0.083046;2.50672
0.093144;1.05235;0.069409;2.49888
0.091172;1.17999;0.103811;2.52107
0.171809;1.80637;0.142915;6.51704
0.127229;1.53448;0.071196;3.67908
0.119801;1.09839;0.066421;2.55957
0.078173;1.21265;0.065976;2.55512
0.207119;1.27897;0.071628;2.52663
0.397991;1.6199;0.082321;2.75764
0.085173;1.18416;0.122853;4.17035
0.093689;1.15694;0.064668;2.75089
0.160986;1.22808;0.065306;3.2164
0.124679;1.97762;0.068212;2.67524
0.081541;1.27444;0.065481;2.49566
0.082048;0.992399;0.072157;2.59731
0.115339;1.20432;0.065421;2.52538
0.085422;1.04487;0.084931;3.39438
0.087582;1.0237;0.086137;2.49267
0.084918;1.1171;0.066303;2.4305
0.084716;1.0468;0.071912;2.47904
0.079;1.03349;0.072776;2.51595
0.082074;1.01692;0.063067;2.44487
0.079058;1.1068;0.068968;2.61141
0.107014;1.23042;0.063018;2.65652
0.094582;1.35084;0.078742;2.67671
0.113234;1.10764;0.081478;2.52448
0.212228;1.40283;0.068049;3.10687
0.082368;1.06496;0.069131;2.69104
0.081659;1.03244;0.073183;4.18002
0.081275;1.04774;0.065238;2.54625
0.083773;1.10205;0.064309;2.74008
0.085788;2.26628;0.070064;2.5872
0.09395;1.17526;0.252865;4.38298
0.154476;1.51539;0.094126;4.41207
0.13965;1.47436;0.094706;2.6025
0.105038;1.31936;0.064348;2.78669
0.122117;1.08871;0.106314;2.82052
0.097744;1.25175;0.093242;2.5441
0.091859;1.01394;0.06876;2.75802
0.085178;1.03576;0.111832;2.71206
0.12379;1.47557;0.091591;2.90603
0.128024;1.07992;0.066054;2.54316
0.085091;1.21912;0.068608;3.68018
0.091439;1.38626;0.077464;4.88331
0.08331;1.16899;0.082667;2.64881
0.125019;1.46223;0.088384;2.59443
0.102358;1.09183;0.089283;2.83889
0.086277;1.05113;0.064879;2.56009
0.134148;1.35914;0.08505;2.8135
0.08954;1.23436;0.069482;3.09946
0.083707;1.08909;0.085115;2.62609
0.084834;1.02893;0.059061;2.47698
0.080597;1.06945;0.065552;3.11872
0.083717;1.07129;0.081778;3.00722
0.095061;1.04774;0.066244;2.54776
0.09445;1.14096;0.084211;5.48905
0.086681;1.07556;0.085708;2.46143
0.099947;1.17404;0.078905;3.34542
0.090476;1.04291;0.064231;2.59582
0.11362;1.31975;0.099945;2.6373
0.086309;1.04672;0.065655;2.57842
0.085462;1.02502;0.06919;2.47626
0.132832;2.32818;0.069686;2.88265
0.090248;1.09459;0.097143;2.94058
0.091394;1.05827;0.068296;2.55822
0.086197;1.06443;0.063441;2.56073
0.07921;1.11413;0.070112;2.49935
0.111589;1.06649;0.071645;2.51677
0.093543;1.0567;0.075008;2.55945
0.117986;1.20554;0.063272;2.49907
0.108389;1.02792;0.07045;2.52339
0.086154;1.095;0.075052;2.53225
0.07999;1.0533;0.065761;3.74827
0.126338;1.43751;0.122468;2.83429
0.085259;1.02716;0.064196;2.50678
0.096809;1.05791;0.06492;2.50488
0.108201;1.09678;0.063618;2.46889
0.09413;1.0999;0.066921;2.49175
0.092291;1.04404;0.080473;2.53627
0.100168;1.03272;0.07333;2.43289
0.089233;0.990557;0.063443;2.44378
0.094537;0.999643;0.061333;2.45443
0.10917;1.00253;0.062135;2.47903
0.082334;1.03915;0.074232;2.41873
0.082866;1.0099;0.065608;2.51196
0.079141;1.0056;0.067191;2.46102
