Dijkstra;Ford-Bellman;Prim;Kruskal
0.154846;2.12388;0.097306;5.62296
0.149922;2.4059;0.099125;5.64736
0.148836;2.23686;0.102515;5.43625
0.137914;2.1604;0.104553;5.63
0.170788;2.15957;0.095822;6.41275
0.169162;2.16999;0.125145;6.17106
0.206597;2.4132;0.117558;5.63773
0.147482;2.0707;0.0919;8.61674
0.196981;3.56222;0.096533;7.22953
0.150153;2.21493;0.102839;5.71432
0.143662;2.17859;0.09403;5.56546
0.139939;2.1646;0.096479;5.55915
0.154823;2.39808;0.10283;5.68042
0.146698;2.25195;0.096636;5.63585
0.14561;2.20989;0.09238;5.72466
0.160331;2.59479;0.105557;5.99
0.15414;4.26253;0.117555;6.18286
0.235455;4.49677;0.093035;7.42779
0.150726;3.66109;0.096178;8.29705
0.155961;3.33363;0.227715;6.85769
0.159825;2.1429;0.091013;5.62639
0.151236;2.19792;0.111539;5.68648
0.146321;2.09722;0.098265;5.67191
0.205106;2.28431;0.107812;5.59273
0.31372;3.06123;0.094552;5.80888
0.154288;3.21947;0.105276;7.19377
0.15327;2.24978;0.143097;6.26626
0.205906;2.25683;0.100623;6.32222
0.200884;2.92525;0.09121;6.50919
0.142376;3.45637;0.092625;5.58174
0.139101;2.07578;0.091804;5.49692
0.147136;2.18648;0.103004;5.48086
0.142896;2.12708;0.091549;5.57171
0.144149;2.22811;0.107268;5.56431
0.1398;2.17508;0.08998;5.59861
0.144349;2.11727;0.089578;5.61406
0.144607;2.90735;0.151746;6.02678
0.163477;2.11662;0.090941;6.14605
0.161052;2.18325;0.093861;5.4872
0.61271;2.98332;0.150998;8.04577
0.14865;4.75734;0.098585;7.06763
0.146751;2.59763;0.100531;6.63873
0.147179;2.12616;0.123452;7.68795
0.153715;2.08161;0.092742;5.51369
0.173692;2.16873;0.110491;6.07073
0.165314;2.24329;0.122103;8.33956
0.137844;2.2785;0.09345;5.98098
0.161031;3.20736;0.095388;5.98581
0.149156;2.20399;0.094168;5.92648
0.236312;3.75113;0.090093;5.68233
0.165006;2.12842;0.090717;5.52813
0.16905;3.78738;0.121482;5.71883
0.154421;3.13541;0.105178;6.08335
0.159835;2.15613;0.103144;6.13655
0.20872;5.15057;0.220663;11.3913
0.19535;2.79041;0.114166;5.90371
0.14316;2.14668;0.1;8.25953
0.242695;5.33707;0.106398;6.18433
0.374594;3.89692;0.203749;11.6246
0.197204;2.37782;0.228749;6.28644
0.194;13.5824;0.09225;6.76542
0.313827;2.42465;0.092618;5.59512
0.160343;3.7759;0.126173;7.90093
0.207479;3.24045;0.107307;5.58682
0.593824;3.49627;0.099207;5.69143
0.147051;2.15275;0.094966;5.4218
0.141959;2.16685;0.105875;5.59041
0.151952;2.2209;0.094858;5.83301
0.153127;2.24618;0.179589;7.08376
0.149001;2.21714;0.130923;5.50685
0.1544;2.11413;0.105353;6.45446
0.183303;3.93704;0.169958;7.34011
0.144406;2.25621;0.094679;5.48337
0.141208;2.19083;0.094114;5.3882
0.163808;2.42412;0.132757;5.9589
0.23851;3.36825;0.120255;6.44735
0.157315;2.17038;0.09322;5.6504
0.154301;2.36105;0.0955;5.60709
0.142313;2.26631;0.095957;5.5892
0.135241;2.12653;0.09573;5.4759
0.156007;2.13522;0.09473;5.98018
0.144776;2.15606;0.087236;5.55261
0.170623;2.14479;0.095594;7.14898
0.213918;3.95559;0.109749;5.78422
0.143439;2.14983;0.095128;5.48479
0.145069;2.54673;0.236901;6.03087
0.161542;2.12011;0.130344;6.54556
0.15368;2.14299;0.089605;5.55853
0.130816;2.17006;0.104346;5.55674
0.148879;2.14045;0.094019;5.74487
0.134107;2.19932;0.093143;5.55545
0.201759;2.11436;0.090263;5.40827
0.134954;2.10769;0.090972;5.46958
0.128378;2.14425;0.102629;5.40401
0.147891;2.08234;0.101996;5.42376
0.133208;2.05367;0.111907;5.32837
0.132011;2.09369;0.090449;5.47525
0.145511;2.11187;0.109423;5.39339
0.133061;2.07302;0.090722;5.49222
0.144831;2.12193;0.10989;5.37617
