Dijkstra;Ford-Bellman;Prim;Kruskal
0.010311;0.018279;0.004428;0.030845
0.007252;0.013128;0.002936;0.024328
0.009871;0.019646;0.003324;0.026667
0.011347;0.019757;0.005301;0.053511
0.008586;0.018409;0.004798;0.031336
0.00965;0.018595;0.007104;0.055082
0.010788;0.025391;0.007203;0.046386
0.010135;0.020031;0.004666;0.031287
0.011035;0.016451;0.004059;0.030818
0.01039;0.020314;0.008596;0.05146
0.015687;0.028241;0.007019;0.050476
0.007588;0.016283;0.003749;0.026264
0.009346;0.017801;0.006407;0.051216
0.007791;0.017464;0.004149;0.026292
0.008459;0.018665;0.004028;0.032772
0.007299;0.0201;0.003918;0.029284
0.007251;0.014387;0.003029;0.029684
0.007446;0.015671;0.00339;0.023702
0.006848;0.019106;0.002936;0.025274
0.006108;0.013661;0.002857;0.021773
0.009345;0.016613;0.004332;0.031984
0.009209;0.018919;0.002795;0.021417
0.006828;0.014448;0.002889;0.021946
0.008259;0.01733;0.002934;0.02185
0.00907;0.017006;0.002909;0.023256
0.006808;0.016526;0.002955;0.033709
0.007047;0.015449;0.002866;0.021628
0.007287;0.01777;0.002937;0.022081
0.008706;0.01543;0.002825;0.025217
0.007969;0.016599;0.003998;0.025121
0.010504;0.016657;0.002716;0.021535
0.008081;0.019095;0.003815;0.024592
0.006517;0.013809;0.003823;0.029128
0.01139;0.021755;0.004474;0.03155
0.009059;0.022026;0.005141;0.034822
0.006787;0.027465;0.003928;0.026448
0.006291;0.014241;0.002878;0.021279
0.007972;0.014615;0.003031;0.022297
0.008331;0.017537;0.002841;0.033957
0.006861;0.018014;0.004048;0.023514
0.006703;0.014687;0.003669;0.025739
0.007229;0.013955;0.002829;0.02172
0.005917;0.013908;0.002902;0.022472
0.007786;0.017555;0.00292;0.022069
0.006974;0.013759;0.002881;0.026227
0.006961;0.01639;0.003075;0.021111
0.007213;0.014606;0.007158;0.02082
0.006446;0.015946;0.002866;0.02127
0.008981;0.02116;0.004316;0.024005
0.007942;0.018301;0.002933;0.022353
0.006386;0.015686;0.002832;0.022337
0.006493;0.014528;0.002866;0.022905
0.007378;0.016318;0.003363;0.022988
0.009927;0.018631;0.002979;0.023566
0.005663;0.013567;0.003794;0.028779
0.006636;0.015548;0.002963;0.025391
0.006156;0.014788;0.003209;0.02249
0.006077;0.019118;0.002842;0.02405
0.008901;0.017104;0.003439;0.0236
0.007854;0.01859;0.005158;0.022987
0.006403;0.014087;0.004903;0.02217
0.006456;0.013912;0.004417;0.027253
0.010794;0.027727;0.003386;0.027123
0.007845;0.021657;0.003695;0.026448
0.007205;0.015165;0.002932;0.022255
0.007833;0.013923;0.003309;0.021604
0.006735;0.015033;0.003934;0.022586
0.007078;0.017646;0.002816;0.020945
0.00626;0.016229;0.002946;0.021401
0.007181;0.017407;0.003497;0.02587
0.006293;0.014734;0.003321;0.021321
0.007731;0.016589;0.002846;0.022402
0.011001;0.026175;0.003536;0.02635
0.005984;0.013969;0.002807;0.022361
0.007397;0.01688;0.002764;0.021674
0.005487;0.015857;0.00315;0.021856
0.007613;0.014914;0.002946;0.023707
0.007178;0.015345;0.002935;0.023033
0.006878;0.014025;0.002794;0.023014
0.00973;0.016754;0.003007;0.023056
0.007599;0.015064;0.003064;0.021811
0.006496;0.015658;0.003285;0.022794
0.005838;0.015376;0.00275;0.022174
0.005678;0.020912;0.003248;0.022001
0.005632;0.014105;0.00299;0.023501
0.007166;0.017109;0.005129;0.023287
0.006327;0.016062;0.003261;0.022187
0.00686;0.01604;0.002896;0.024306
0.006776;0.018687;0.002875;0.021965
0.011612;0.017262;0.003051;0.022201
0.007401;0.018264;0.004028;0.021954
0.014144;0.020636;0.007763;0.040358
0.00553;0.015698;0.003262;0.022405
0.006863;0.015542;0.002885;0.031033
0.006841;0.017611;0.002834;0.022426
0.008202;0.015651;0.002876;0.025566
0.006969;0.016248;0.002748;0.021566
0.00744;0.021002;0.002828;0.023078
0.007628;0.016379;0.002692;0.022667
0.007337;0.016802;0.00384;0.027266
