Dijkstra;Ford-Bellman;Prim;Kruskal
0.001882;0.004548;0.001113;0.014364
0.002197;0.004886;0.001302;0.016306
0.004088;0.007724;0.001647;0.016093
0.00197;0.004597;0.001138;0.012953
0.002709;0.006093;0.001369;0.016364
0.001866;0.005567;0.003367;0.017814
0.002098;0.004886;0.001512;0.015851
0.002165;0.005067;0.001376;0.01842
0.002108;0.004441;0.001149;0.012706
0.002058;0.004599;0.001088;0.012509
0.002018;0.004222;0.001081;0.012192
0.002933;0.006507;0.001176;0.016667
0.001907;0.00439;0.001175;0.013385
0.001826;0.004186;0.001078;0.012738
0.002785;0.004949;0.001488;0.014754
0.001955;0.007296;0.001248;0.016146
0.00243;0.00574;0.001464;0.014836
0.001814;0.004216;0.00108;0.012057
0.004404;0.007262;0.001576;0.016729
0.002166;0.004925;0.001256;0.014268
0.001876;0.004634;0.001086;0.020076
0.002759;0.006927;0.00125;0.013237
0.003538;0.005642;0.001662;0.014707
0.003436;0.008254;0.001117;0.011782
0.002249;0.004121;0.001055;0.012096
0.002343;0.004211;0.001088;0.014048
0.002642;0.005882;0.001405;0.014977
0.002657;0.004907;0.001073;0.022208
0.002798;0.005402;0.001261;0.014042
0.002102;0.004874;0.001293;0.016331
0.002468;0.005141;0.001347;0.017275
0.003368;0.004571;0.00194;0.01297
0.002163;0.004886;0.001264;0.014571
0.003749;0.00809;0.00157;0.021276
0.001942;0.00458;0.001069;0.014782
0.002652;0.005065;0.00133;0.016367
0.002015;0.00487;0.00172;0.014994
0.002529;0.005339;0.002504;0.025484
0.002707;0.004928;0.001322;0.014474
0.0021;0.00491;0.001715;0.019786
0.00358;0.007332;0.001631;0.021965
0.004372;0.005936;0.001888;0.016094
0.002616;0.004175;0.001116;0.015826
0.002334;0.005174;0.002662;0.021241
0.002402;0.005214;0.001622;0.017867
0.002622;0.00524;0.001329;0.015236
0.002791;0.007882;0.001562;0.016351
0.0022;0.005161;0.001265;0.014195
0.002386;0.005181;0.001348;0.015293
0.002698;0.006758;0.001336;0.017817
0.002182;0.005943;0.001746;0.020005
0.002591;0.005365;0.001621;0.016495
0.002994;0.007148;0.001282;0.014166
0.00472;0.00829;0.001642;0.022381
0.002797;0.00558;0.001447;0.017826
0.002136;0.007063;0.001466;0.015176
0.002122;0.004177;0.001468;0.013395
0.002805;0.005169;0.001831;0.022891
0.002617;0.006126;0.001578;0.015981
0.002319;0.005176;0.001948;0.019012
0.002787;0.005341;0.001339;0.014172
0.001825;0.005002;0.001069;0.01807
0.002511;0.005286;0.001284;0.014464
0.002256;0.004882;0.00122;0.014216
0.002377;0.005382;0.001764;0.02065
0.002204;0.004773;0.001232;0.015985
0.003028;0.004222;0.001058;0.015102
0.002041;0.004634;0.001813;0.021081
0.0022;0.005529;0.001473;0.014353
0.002115;0.01035;0.001809;0.017875
0.002455;0.004932;0.001266;0.014854
0.001808;0.004602;0.001223;0.020259
0.003164;0.004393;0.001085;0.012917
0.002568;0.005702;0.001421;0.016853
0.002694;0.006001;0.001274;0.018939
0.002323;0.005435;0.001108;0.012489
0.002124;0.004189;0.001213;0.018827
0.003678;0.005659;0.001129;0.012198
0.001998;0.004657;0.001251;0.013026
0.003119;0.006729;0.001715;0.017967
0.00308;0.004433;0.001133;0.014717
0.003244;0.005345;0.001964;0.014971
0.002799;0.005706;0.001334;0.015349
0.003916;0.004476;0.001352;0.014731
0.001812;0.005647;0.001308;0.014018
0.002365;0.004937;0.00125;0.014504
0.003626;0.00826;0.001369;0.015943
0.00267;0.005836;0.001945;0.017774
0.003342;0.007204;0.001663;0.017015
0.004778;0.00659;0.002164;0.018828
0.002265;0.005557;0.00134;0.015577
0.002049;0.004245;0.002656;0.015967
0.00184;0.006321;0.00242;0.027246
0.002343;0.004956;0.00222;0.022623
0.003204;0.005537;0.001455;0.015796
0.003578;0.005795;0.001292;0.014478
0.002026;0.004192;0.001313;0.014173
0.002621;0.005741;0.001574;0.0167
0.002736;0.00561;0.001534;0.015741
0.002293;0.00422;0.003537;0.025048
