Dijkstra;Ford-Bellman;Prim;Kruskal
0.109216;1.28155;0.058982;2.33065
0.096122;1.20186;0.062344;2.32165
0.076706;1.10974;0.050697;2.36769
0.085659;1.02345;0.060117;2.578
0.086685;1.10552;0.049273;2.42335
0.082413;1.20076;0.058033;2.42236
0.090569;1.08671;0.05128;2.33636
0.082314;1.44278;0.077803;2.3511
0.078823;1.16999;0.056465;3.0976
0.081556;1.62511;0.067343;3.88233
0.124958;1.78411;0.103798;3.47157
0.081183;1.44024;0.073754;2.64282
0.110884;1.29365;0.047191;2.34144
0.102445;1.05158;0.095152;2.69583
0.0767;1.16078;0.055346;2.35916
0.079649;1.20663;0.046059;2.7093
0.204436;1.21886;0.050806;2.33889
0.086073;1.40749;0.0467;2.37042
0.130977;1.05134;0.04936;2.30338
0.085264;1.06484;0.048962;2.2975
0.077439;1.11018;0.048748;2.25598
0.079737;1.07104;0.049036;2.80365
0.077079;1.08254;0.048905;2.33658
0.08;1.06773;0.049986;2.26502
0.080289;1.07071;0.056258;2.5735
0.110472;1.11897;0.049532;2.33221
0.086633;1.0742;0.049322;2.29651
0.11187;1.30548;0.052033;3.5872
0.07846;1.08115;0.060963;2.3634
0.111478;1.25659;0.073375;2.41741
0.086125;1.11158;0.055611;2.27714
0.088047;1.07061;0.055617;2.34544
0.07551;1.09914;0.044609;2.22401
0.076926;1.08362;0.046778;2.29037
0.074997;1.08007;0.045953;2.31132
0.069805;1.07278;0.062039;3.25175
0.070253;1.06886;0.051721;2.38425
0.075212;1.06352;0.053533;2.60253
0.080621;1.13673;0.063944;2.42525
0.083072;1.42712;0.049148;2.29387
0.086735;1.11692;0.054127;2.5449
0.075707;1.06355;0.053411;2.86074
0.09787;1.52386;0.058088;2.90778
0.179058;1.13791;0.056663;2.93168
0.079449;1.10951;0.048313;2.34082
0.07575;1.11132;0.079089;2.6656
0.172871;1.50257;0.06735;2.42323
0.125301;1.48106;0.07397;4.1114
0.080859;1.07624;0.080452;2.76642
0.08881;1.24347;0.142019;2.81012
0.075481;1.22173;0.053848;2.55952
0.082874;1.09302;0.051405;2.37802
0.076342;1.03939;0.047585;2.34668
0.075137;1.07463;0.061579;2.59815
0.132249;1.21559;0.068474;2.65396
0.073988;1.11994;0.078505;2.41788
0.081955;1.10649;0.059138;2.42189
0.082138;2.1424;0.071786;2.47928
0.099419;2.33879;0.118074;3.23927
0.091142;1.15061;0.065608;2.43317
0.098071;1.13811;0.072722;2.91637
0.074049;1.08627;0.049733;2.3059
0.076798;1.17046;0.048072;2.87238
0.120887;1.21689;0.060739;2.30366
0.092711;1.30085;0.048645;2.57003
0.158615;1.26966;0.074866;2.49488
0.081893;1.25211;0.048488;2.33841
0.08249;1.07822;0.056129;2.25473
0.075712;1.02777;0.045969;2.32761
0.15502;1.33304;0.051198;2.75866
0.087437;1.17742;0.053429;2.54335
0.085973;1.04942;0.050997;2.33404
0.084687;1.08819;0.048587;2.4559
0.081583;1.09028;0.049284;2.2638
0.169406;1.76197;0.072715;2.41009
0.085479;1.07587;0.112775;3.5626
0.081495;1.0705;0.061413;2.53794
0.161589;1.26502;0.053811;2.32707
0.119635;1.42239;0.063403;2.39053
0.074641;1.07272;0.048426;2.39371
0.106666;1.27121;0.089824;2.38686
0.083675;1.05906;0.049562;2.53848
0.14087;1.69074;0.089073;3.65387
0.072674;1.14809;0.051955;2.27918
0.079349;1.03897;0.055455;3.06343
0.069802;1.06323;0.069702;2.33068
0.117312;1.24273;0.047052;2.34807
0.111379;1.51046;0.049634;2.28986
0.09344;1.67335;0.045299;3.12416
0.157754;1.33482;0.059679;2.26412
0.100294;2.10576;0.046558;2.3385
0.099137;1.11439;0.049712;2.33285
0.078757;1.16908;0.047444;2.38884
0.076985;1.05984;0.051759;2.42223
0.083022;1.21367;0.066527;2.34914
0.124057;1.57783;0.049829;2.45815
0.080689;1.16031;0.051086;2.32635
0.081198;1.10246;0.050712;2.4034
0.08151;1.04679;0.050936;2.27486
0.079289;1.09256;0.047024;2.44856
