Dijkstra;Ford-Bellman;Prim;Kruskal
0.092998;0.79447;0.049275;2.54595
0.064292;0.802467;0.058045;2.35565
0.080999;0.784606;0.049876;2.32105
0.070502;0.777527;0.050618;2.30575
0.07962;1.24686;0.059168;2.2747
0.097389;0.92524;0.05011;2.59624
0.054571;0.820401;0.050184;2.31441
0.106449;1.0895;0.051172;2.27263
0.0735;0.839705;0.055931;3.5232
0.163267;1.79389;0.156077;4.31385
0.160366;1.3451;0.07197;4.30537
0.552269;1.74658;0.072849;3.21423
0.080414;0.858137;0.07698;3.19165
0.062603;0.953369;0.050128;2.39394
0.080239;1.12842;0.060111;2.90003
0.073248;0.788775;0.051724;2.44998
0.062221;0.863447;0.05137;2.35091
0.06122;0.866906;0.10722;3.21172
0.063555;0.816173;0.048863;2.28069
0.058324;0.789933;0.049104;2.33834
0.058703;0.806441;0.047643;2.30502
0.061142;0.798173;0.046897;2.3633
0.06924;0.890032;0.055535;2.709
0.07025;0.909359;0.05639;2.3916
0.059576;0.778168;0.055609;2.45432
0.057662;0.797637;0.051755;2.37984
0.058507;0.80717;0.047545;2.29602
0.077068;0.889094;0.047714;3.10412
0.077954;0.905256;0.049949;2.35204
0.073381;0.818819;0.060438;2.30306
0.061359;0.771995;0.049591;2.26906
0.055958;0.76716;0.04668;2.30206
0.073835;0.797579;0.064525;2.2705
0.05289;0.767383;0.049565;2.33028
0.055637;0.771061;0.05877;2.31007
0.059285;0.78545;0.05192;2.35042
0.068045;0.858825;0.085704;2.44456
0.082648;0.771703;0.049591;2.28716
0.071239;0.800066;0.086164;3.06359
0.067291;1.05527;0.081168;2.36465
0.070217;0.848323;0.062689;2.8199
0.069412;0.799065;0.050064;2.35853
0.092196;1.21884;0.112224;4.12232
0.072498;0.930555;0.052717;2.72722
0.074842;1.06208;0.045901;2.6077
0.065272;0.805648;0.063856;3.50222
0.069783;0.986769;0.054979;3.61836
0.064039;2.00622;0.052947;3.54126
0.087281;0.944733;0.072853;2.32019
0.079278;0.81713;0.047312;2.55829
0.125215;1.48793;0.049909;2.69899
0.086646;0.774182;0.054158;3.66208
0.061373;0.787403;0.05596;2.4807
0.057185;0.798616;0.049534;2.29041
0.061657;0.786793;0.065888;2.5855
0.064853;0.826121;0.078289;3.42619
0.063872;0.903838;0.062896;3.9649
0.096756;1.14522;0.053025;2.59505
0.077054;1.51766;0.049175;2.71467
0.076468;0.844058;0.05664;2.50832
0.099137;0.930114;0.071286;4.02078
0.061256;0.798078;0.062622;3.67399
0.092478;0.961996;0.066163;2.64088
0.088519;0.991445;0.065565;2.46561
0.0597;0.849824;0.059513;2.62247
0.064614;0.810082;0.051334;2.3471
0.058971;0.773442;0.048356;2.32142
0.061269;0.765556;0.047744;2.24271
0.063961;0.791616;0.049685;2.29053
0.082761;0.993859;0.05287;2.29266
0.063939;0.886443;0.061075;3.31235
0.072694;0.770784;0.047545;2.33276
0.063668;0.799871;0.050741;2.29214
0.157815;1.28451;0.046473;2.55116
0.061986;0.854983;0.049614;3.48085
0.069189;0.806577;0.053312;2.39048
0.066815;0.910053;0.063872;2.68106
0.099815;1.25366;0.046931;2.36677
0.061657;0.791137;0.051502;2.44497
0.059333;0.872946;0.048766;2.37181
0.06334;0.833004;0.053658;2.38881
0.061722;0.781501;0.048179;2.30988
0.069766;0.809875;0.05018;2.67487
0.071069;0.837441;0.04774;2.25404
0.056333;0.79066;0.056996;2.32572
0.056576;0.804217;0.048271;2.27044
0.086081;1.05803;0.0569;3.17483
0.087878;1.09634;0.073674;3.14097
0.06946;0.842529;0.047496;2.30141
0.116676;0.956732;0.045079;2.35165
0.078784;0.77754;0.054577;3.00697
0.068546;0.933504;0.090686;3.68179
0.075727;0.918489;0.068594;2.44228
0.081406;0.823403;0.057786;2.32068
0.071572;0.802574;0.054784;2.3933
0.062809;0.786128;0.060047;2.32007
0.080505;0.814888;0.0472;2.34567
0.062053;0.811871;0.048935;2.33861
0.061579;0.803229;0.062032;2.33864
0.064642;0.780448;0.047224;2.43481
