Dijkstra;Ford-Bellman;Prim;Kruskal
0.001489;0.001408;0.000578;0.003096
0.001327;0.001548;0.000507;0.002971
0.000914;0.001451;0.000455;0.002561
0.001117;0.001732;0.00058;0.003024
0.001323;0.001694;0.000494;0.002712
0.000695;0.000937;0.000625;0.002963
0.000644;0.000856;0.00032;0.001866
0.000657;0.000832;0.000277;0.001555
0.000635;0.001523;0.000292;0.001671
0.000572;0.000807;0.000303;0.001661
0.000558;0.00075;0.000278;0.001677
0.000834;0.000996;0.00029;0.001648
0.000785;0.001005;0.000357;0.001938
0.000464;0.000608;0.00022;0.001484
0.000618;0.000862;0.00027;0.001669
0.000656;0.000826;0.000301;0.001696
0.000721;0.00111;0.0003;0.001669
0.000622;0.000811;0.000302;0.001705
0.000648;0.000849;0.000326;0.001709
0.000672;0.000945;0.000317;0.001764
0.000555;0.000732;0.000307;0.002036
0.000577;0.000755;0.000264;0.001516
0.000573;0.001724;0.000291;0.001766
0.000543;0.000718;0.000262;0.00145
0.000562;0.000794;0.000263;0.001494
0.00064;0.000843;0.000299;0.001719
0.000559;0.000721;0.000278;0.001537
0.000578;0.000709;0.000266;0.001511
0.00052;0.000694;0.00028;0.001585
0.000559;0.00075;0.000249;0.001475
0.000649;0.000947;0.000288;0.001721
0.000784;0.0008;0.000274;0.001773
0.000567;0.00077;0.000252;0.001417
0.000527;0.000705;0.000262;0.001626
0.000477;0.000642;0.000233;0.001344
0.000471;0.00063;0.000215;0.001228
0.000506;0.000632;0.00022;0.001346
0.000519;0.000674;0.000225;0.001268
0.000493;0.000658;0.000217;0.001301
0.000475;0.000657;0.000214;0.001339
0.000459;0.000623;0.000221;0.001355
0.00048;0.000645;0.000226;0.001452
0.000474;0.000693;0.00021;0.001305
0.000471;0.000634;0.000214;0.001319
0.000545;0.000651;0.000267;0.001757
0.000484;0.00062;0.000206;0.001589
0.000719;0.001104;0.000279;0.001631
0.000549;0.000753;0.000244;0.002041
0.000569;0.000763;0.0004;0.001501
0.000548;0.000718;0.000243;0.001432
0.000514;0.000768;0.000247;0.001527
0.000832;0.000737;0.000292;0.001621
0.000529;0.000718;0.000252;0.001529
0.000537;0.000735;0.00032;0.00148
0.000577;0.000719;0.000592;0.001638
0.000588;0.000747;0.000248;0.001491
0.000573;0.000755;0.000247;0.001608
0.000568;0.000792;0.000267;0.001564
0.000525;0.000714;0.000246;0.001569
0.000564;0.00074;0.00025;0.001571
0.000558;0.000793;0.000265;0.00155
0.000626;0.00094;0.000271;0.001892
0.000564;0.00077;0.00025;0.001542
0.000528;0.00075;0.000249;0.002084
0.000584;0.000798;0.000252;0.001583
0.000558;0.000771;0.000251;0.001471
0.000765;0.001004;0.000364;0.002006
0.000613;0.000794;0.000274;0.0017
0.000585;0.000837;0.000274;0.001724
0.001007;0.000781;0.000269;0.001687
0.000739;0.000962;0.000356;0.002168
0.000588;0.000806;0.000276;0.001769
0.000606;0.000798;0.000318;0.003318
0.000697;0.000941;0.000358;0.002112
0.000688;0.000883;0.000328;0.001935
0.000652;0.000891;0.000319;0.001947
0.000648;0.001906;0.000589;0.002865
0.000898;0.00123;0.000496;0.003464
0.000804;0.001162;0.000293;0.001612
0.000596;0.000806;0.000295;0.001762
0.000749;0.002819;0.00055;0.003042
0.000908;0.00097;0.000519;0.002151
0.000798;0.00099;0.000347;0.002147
0.001213;0.001823;0.000377;0.001904
0.000729;0.000945;0.000322;0.002047
0.001211;0.001615;0.00052;0.006375
0.001429;0.001471;0.000474;0.003273
0.000929;0.000792;0.000273;0.001627
0.002947;0.001622;0.000546;0.002358
0.001397;0.001712;0.000532;0.003359
0.001165;0.001573;0.000487;0.002873
0.000735;0.001167;0.000322;0.00184
0.000671;0.000927;0.000313;0.001971
0.000856;0.000909;0.00033;0.002226
0.000711;0.000931;0.00032;0.001848
0.001151;0.001003;0.000369;0.002366
0.000795;0.000995;0.000355;0.002019
0.001091;0.001599;0.000484;0.003148
0.001086;0.001497;0.000625;0.002608
0.001127;0.001438;0.000468;0.003242
