Dijkstra;Ford-Bellman;Prim;Kruskal
0.000969;0.000446;0.000417;0.000993
0.000783;0.000353;0.000357;0.000811
0.000813;0.000393;0.00035;0.000747
0.000839;0.000433;0.00035;0.000706
0.000831;0.000379;0.000358;0.000773
0.001006;0.000369;0.000654;0.000795
0.001227;0.000548;0.000678;0.000924
0.000676;0.000375;0.000212;0.000747
0.000664;0.000231;0.000208;0.000415
0.000626;0.000218;0.000207;0.000415
0.00049;0.000224;0.000205;0.0004
0.000624;0.000215;0.000208;0.000585
0.000434;0.000215;0.000207;0.000445
0.001209;0.000239;0.00019;0.000349
0.000765;0.000226;0.000194;0.0004
0.000517;0.000248;0.000225;0.000478
0.000455;0.000212;0.000234;0.000469
0.000483;0.000212;0.000213;0.000467
0.000564;0.000232;0.000232;0.00042
0.000478;0.00023;0.000219;0.000453
0.000487;0.000213;0.000191;0.000388
0.000611;0.000219;0.000214;0.000459
0.000456;0.000218;0.00021;0.000412
0.000561;0.000311;0.000192;0.000394
0.000455;0.000213;0.000189;0.00038
0.000667;0.000219;0.000207;0.000417
0.000631;0.00021;0.000196;0.000401
0.000564;0.000187;0.0002;0.000392
0.000608;0.000215;0.000201;0.000443
0.000578;0.000204;0.000177;0.000379
0.000671;0.000203;0.000189;0.000393
0.000454;0.000214;0.000199;0.000434
0.000575;0.000186;0.000168;0.000365
0.000587;0.000211;0.000169;0.000379
0.000513;0.000163;0.000158;0.000324
0.001092;0.000461;0.000146;0.000339
0.000544;0.000176;0.000147;0.000332
0.000581;0.000185;0.000146;0.000336
0.000562;0.000169;0.000152;0.000347
0.000626;0.000181;0.000154;0.000318
0.000567;0.000171;0.000151;0.000329
0.000569;0.000166;0.000168;0.000344
0.000622;0.000202;0.000144;0.000348
0.000573;0.000168;0.00014;0.00031
0.000421;0.00021;0.000145;0.000333
0.000574;0.000167;0.000149;0.000318
0.000673;0.000235;0.000184;0.000417
0.000434;0.000205;0.000178;0.000395
0.0004;0.0002;0.00018;0.000392
0.000395;0.000186;0.000167;0.000394
0.000421;0.000201;0.000166;0.000357
0.000416;0.000225;0.000167;0.000373
0.000673;0.000211;0.000188;0.000426
0.00038;0.000192;0.000211;0.000426
0.00039;0.000285;0.000163;0.000641
0.000447;0.000218;0.000176;0.000405
0.000398;0.000206;0.000189;0.000424
0.000409;0.000191;0.000194;0.000385
0.000427;0.000214;0.000171;0.000396
0.000485;0.000225;0.000175;0.000399
0.000392;0.000205;0.000168;0.00036
0.000402;0.000217;0.00017;0.000413
0.000399;0.000194;0.000173;0.000405
0.00041;0.000198;0.000163;0.000406
0.000463;0.00022;0.000181;0.000424
0.000394;0.000198;0.000169;0.00038
0.00052;0.000257;0.000244;0.000493
0.000527;0.000385;0.000245;0.000538
0.000629;0.000224;0.000185;0.000416
0.000657;0.000237;0.000183;0.00044
0.000789;0.038293;0.000548;0.000663
0.000527;0.000249;0.000228;0.000512
0.000428;0.000213;0.000197;0.000458
0.00075;0.000451;0.000231;0.000497
0.000498;0.000236;0.000221;0.000514
0.000514;0.000248;0.000211;0.000469
0.000451;0.000225;0.00019;0.000453
0.000818;0.000385;0.000317;0.000732
0.000531;0.000244;0.000217;0.000477
0.000679;0.000247;0.000215;0.00043
0.000691;0.000244;0.000193;0.000451
0.000908;0.000412;0.000387;0.000918
0.000613;0.000276;0.000259;0.000523
0.000818;0.0004;0.000328;0.00077
0.000636;0.000219;0.00046;0.000537
0.000756;0.00038;0.000339;0.00077
0.001002;0.000412;0.00041;0.00132
0.000705;0.000235;0.000229;0.000451
0.000562;0.000248;0.000228;0.000494
0.000627;0.000253;0.000248;0.000526
0.000776;0.000423;0.000341;0.000776
0.000836;0.000383;0.000358;0.000763
0.000498;0.000248;0.000219;0.00048
0.000671;0.000334;0.000229;0.00051
0.000492;0.000263;0.000218;0.000494
0.000504;0.000245;0.000221;0.00048
0.000547;0.000258;0.000251;0.000544
0.000801;0.000392;0.000349;0.000738
0.000846;0.000426;0.000364;0.000775
0.000806;0.000392;0.000343;0.000705
