Dijkstra;Ford-Bellman;Prim;Kruskal
0.125713;0.596957;0.101545;5.56528
0.134982;0.622468;0.13409;5.54718
0.133943;0.61981;0.099741;5.56258
0.130716;0.607114;0.092024;5.5978
0.137289;0.583527;0.08556;5.55259
0.125444;0.599034;0.098897;6.21614
0.127447;0.614229;0.090072;8.35602
0.148279;0.576233;0.108354;5.75243
0.188059;0.808959;0.081565;5.46066
0.130009;0.605651;0.084804;5.9179
0.146102;0.589325;0.084075;5.62229
0.132231;0.604992;0.085854;5.54524
0.125658;0.654698;0.118094;6.69701
0.118735;0.613112;0.085544;5.51736
0.129273;0.600468;0.087978;5.65884
0.130293;0.618162;0.105243;7.1569
0.132658;0.633443;0.111173;6.49762
0.247066;1.15249;0.108105;7.54401
0.145365;0.630789;0.085097;5.65659
0.130142;0.599554;0.104287;6.10065
0.163253;0.689059;0.083383;5.67125
0.122962;0.6395;0.085145;5.47205
0.138562;0.606552;0.126134;5.43152
0.135518;0.654501;0.221821;8.38462
0.203497;1.02643;0.085579;8.6928
0.131307;0.733467;0.172064;8.19717
0.138659;0.607009;0.082365;5.6936
0.163874;0.744502;0.131698;5.78208
0.128085;0.58534;0.089859;5.92262
0.141819;0.618503;0.1531;6.12159
0.146122;0.640566;0.081865;5.59267
0.13107;1.01205;0.083874;5.52124
0.137448;0.703603;0.080243;5.54164
0.122151;0.590672;0.087724;5.55234
0.139577;0.62049;0.084495;5.51425
0.117822;0.615065;0.081483;5.40682
0.13533;0.612753;0.100419;6.93973
0.13241;0.63087;0.094601;5.50576
0.12743;0.624397;0.092217;5.60383
0.151115;0.840894;0.083947;6.73389
0.129358;0.625533;0.129516;5.72371
0.124998;0.599051;0.089452;7.98515
0.130503;0.589261;0.093067;6.36158
0.119985;0.626223;0.089899;5.50796
0.131821;0.583495;0.110606;6.05827
0.128715;0.841357;0.213908;7.65229
0.121158;0.59859;0.088823;5.74202
0.150061;0.721288;0.103125;5.57162
0.12333;0.617408;0.113221;5.60575
0.127732;0.754197;0.088306;6.18016
0.137677;0.589098;0.084155;5.51146
0.140033;0.612175;0.11253;8.64418
0.124515;0.686368;0.127176;6.68537
0.211411;0.652882;0.097528;5.57699
0.190293;0.746272;0.122424;10.3019
0.217804;0.833096;0.094964;7.21342
0.128819;0.614317;0.091471;6.08102
0.188295;1.10302;0.120892;7.17011
0.189173;1.02613;0.140123;12.4249
0.128985;0.688264;0.080315;6.02646
0.130237;0.635818;0.161593;6.8853
0.153818;0.740692;0.084306;5.62874
0.154604;0.686581;0.125256;8.28623
0.142194;1.75879;0.101642;5.62483
0.15696;0.733288;0.120693;5.85461
0.119322;0.648556;0.084342;5.58633
0.124537;0.586725;0.091981;5.55844
0.156277;0.598897;0.080754;5.86075
0.119308;0.589549;0.089878;8.04177
0.138373;0.605334;0.084463;5.47012
0.129066;0.602874;0.100449;5.72464
0.131542;0.632395;0.117513;8.08931
0.125184;0.607941;0.085615;5.66332
0.127104;0.63835;0.086376;5.53481
0.153088;0.618862;0.088194;5.87072
0.191203;0.921736;0.121589;6.95145
0.121818;0.604569;0.089723;5.68639
0.123152;0.627146;0.090271;5.48214
0.133308;0.630563;0.082353;5.55173
0.125769;0.599949;0.08142;5.48738
0.120776;0.643024;0.082212;5.58139
0.1232;0.582121;0.084736;5.64705
0.124833;0.64739;0.084924;5.89334
0.236802;1.46612;0.080492;5.73732
0.128789;0.596469;0.082607;5.5665
0.118184;0.599437;0.08407;8.81907
0.12325;0.593257;0.08362;6.03955
0.13142;0.603333;0.111981;5.54988
0.120918;0.61064;0.080516;5.53136
0.113651;0.646014;0.085425;5.5539
0.133003;0.591129;0.086447;5.61038
0.126971;0.582455;0.087653;5.742
0.143074;0.588876;0.082572;5.41422
0.138965;0.589716;0.086429;5.44474
0.153578;0.607857;0.09242;5.41889
0.130779;0.586678;0.09547;5.27712
0.117437;0.604723;0.082927;5.36301
0.131361;0.586908;0.082471;5.45895
0.131391;0.595073;0.079251;5.35486
0.126209;0.583608;0.079356;5.58166
