Dijkstra;Ford-Bellman;Prim;Kruskal
0.000539;0.000595;0.000247;0.001781
0.000498;0.000592;0.000239;0.001297
0.0006;0.002851;0.000326;0.001696
0.000691;0.000808;0.000312;0.001759
0.000641;0.000801;0.000328;0.001701
0.000841;0.000822;0.000363;0.002577
0.000447;0.000574;0.000227;0.001322
0.000736;0.000792;0.00032;0.001766
0.001041;0.000965;0.000317;0.001755
0.000575;0.000738;0.000287;0.001813
0.000621;0.000791;0.000325;0.001769
0.000461;0.000584;0.000224;0.001249
0.000621;0.000785;0.000301;0.001778
0.000679;0.000874;0.000301;0.00168
0.000467;0.00058;0.000225;0.001285
0.000598;0.000766;0.0003;0.001616
0.000666;0.000858;0.000348;0.001994
0.000635;0.000965;0.000363;0.001929
0.001166;0.001024;0.00036;0.001756
0.00061;0.000736;0.000268;0.001457
0.000651;0.000793;0.000316;0.001748
0.000674;0.000856;0.000354;0.002003
0.00062;0.000798;0.000317;0.001753
0.001226;0.001314;0.000388;0.002635
0.00053;0.000697;0.000283;0.00145
0.000702;0.000835;0.000306;0.001783
0.000702;0.000911;0.000383;0.001924
0.000657;0.000798;0.000313;0.001756
0.000679;0.000786;0.000324;0.001724
0.000749;0.001015;0.000348;0.001769
0.000617;0.000785;0.000312;0.001894
0.00067;0.001029;0.000356;0.002037
0.0006;0.000776;0.000301;0.001713
0.000656;0.000826;0.000298;0.001825
0.00067;0.000875;0.000333;0.001822
0.000481;0.000613;0.000225;0.001333
0.000485;0.000604;0.000222;0.001297
0.000669;0.000884;0.000334;0.001932
0.000556;0.001145;0.000247;0.001302
0.000525;0.000676;0.000263;0.001762
0.000509;0.000622;0.000239;0.001306
0.000694;0.000836;0.00027;0.001582
0.000753;0.000741;0.000287;0.001613
0.000718;0.001043;0.000376;0.001789
0.000553;0.000669;0.000267;0.0015
0.000642;0.000774;0.000293;0.001672
0.000568;0.000682;0.000253;0.001474
0.000532;0.000671;0.000272;0.001376
0.001056;0.000755;0.000297;0.001737
0.00065;0.000785;0.000344;0.001717
0.000527;0.00069;0.000578;0.001629
0.00063;0.000787;0.000256;0.00147
0.000723;0.000728;0.000275;0.002747
0.000662;0.000796;0.000295;0.001734
0.000568;0.000704;0.000262;0.00156
0.00052;0.000679;0.000256;0.001502
0.00119;0.000933;0.00048;0.002402
0.00068;0.000813;0.000294;0.001709
0.000773;0.000899;0.000333;0.00193
0.000639;0.000786;0.000297;0.001776
0.000644;0.00079;0.000303;0.001774
0.000783;0.001382;0.000639;0.001963
0.001003;0.00079;0.000299;0.001734
0.000643;0.001175;0.000296;0.001721
0.000656;0.000844;0.00026;0.00152
0.000798;0.001294;0.000368;0.002054
0.000552;0.000701;0.000263;0.001485
0.000843;0.001099;0.000368;0.002344
0.000483;0.000613;0.001035;0.002215
0.000601;0.000766;0.000489;0.002579
0.000585;0.000706;0.000254;0.001825
0.000785;0.001051;0.000383;0.001812
0.000712;0.000898;0.000357;0.001996
0.00117;0.001838;0.000349;0.002018
0.000836;0.000959;0.000408;0.001961
0.000645;0.00079;0.000278;0.001661
0.000894;0.000913;0.000518;0.001851
0.000642;0.000807;0.000329;0.001758
0.001141;0.000938;0.000338;0.003019
0.000787;0.000923;0.000488;0.001971
0.000554;0.000727;0.000271;0.001729
0.000585;0.000753;0.000295;0.001685
0.000551;0.000699;0.000598;0.002027
0.000633;0.000765;0.000292;0.001727
0.000654;0.000731;0.000249;0.001484
0.000609;0.000783;0.000291;0.00162
0.000715;0.000793;0.000305;0.001797
0.000953;0.000959;0.000366;0.00197
0.000619;0.000828;0.000292;0.001644
0.000648;0.000813;0.000296;0.00231
0.000545;0.000693;0.000252;0.001925
0.000575;0.00109;0.000274;0.002009
0.000728;0.00091;0.00046;0.001729
0.000526;0.000834;0.000486;0.002185
0.000859;0.000929;0.00029;0.002066
0.000837;0.001302;0.000367;0.002294
0.000702;0.000807;0.000297;0.00174
0.001205;0.000656;0.000225;0.001544
0.000475;0.000605;0.000226;0.001541
0.000641;0.000725;0.000268;0.001753
