Dijkstra;Ford-Bellman;Prim;Kruskal
0.000996;0.001325;0.000537;0.002887
0.001136;0.001331;0.00053;0.002787
0.001279;0.001336;0.000539;0.003056
0.000997;0.001355;0.000579;0.002836
0.001392;0.001773;0.000511;0.002745
0.001061;0.001519;0.000441;0.002039
0.000629;0.00097;0.000358;0.001843
0.000596;0.000735;0.00032;0.001644
0.000608;0.000706;0.00032;0.002183
0.000592;0.000728;0.000286;0.00153
0.000555;0.000708;0.000313;0.001747
0.000646;0.000708;0.000314;0.001593
0.000589;0.000714;0.000321;0.001657
0.000504;0.000601;0.000237;0.001228
0.000512;0.000625;0.00028;0.001461
0.000698;0.000986;0.00036;0.001959
0.000574;0.000732;0.000315;0.001746
0.000775;0.000716;0.000324;0.001726
0.000652;0.000746;0.000334;0.001698
0.00064;0.00078;0.000519;0.001952
0.000528;0.000643;0.000299;0.001536
0.000556;0.000645;0.000285;0.001454
0.000519;0.000642;0.0003;0.001552
0.000551;0.000659;0.000278;0.001472
0.000537;0.000639;0.000282;0.001629
0.000505;0.000619;0.000383;0.001907
0.00064;0.000725;0.000281;0.001517
0.000616;0.000642;0.000283;0.001466
0.000498;0.000609;0.00031;0.001517
0.000517;0.000672;0.000268;0.00151
0.000834;0.001133;0.000368;0.002258
0.000538;0.000638;0.000271;0.001534
0.000505;0.000634;0.000263;0.001502
0.000533;0.000647;0.000265;0.001542
0.00046;0.000564;0.000228;0.001389
0.000843;0.000568;0.000235;0.001317
0.000452;0.000549;0.000231;0.00126
0.000438;0.000536;0.000231;0.001296
0.00043;0.000559;0.000237;0.001338
0.000466;0.000559;0.000231;0.001324
0.000457;0.000584;0.000229;0.001325
0.000767;0.00123;0.000472;0.001828
0.000442;0.000549;0.000232;0.001378
0.000437;0.000556;0.000224;0.001334
0.000437;0.000554;0.000223;0.001241
0.000447;0.000562;0.000225;0.001372
0.000642;0.000828;0.000275;0.002693
0.000527;0.000625;0.000255;0.0015
0.000488;0.000641;0.00026;0.001505
0.000765;0.000627;0.000258;0.001448
0.0005;0.000629;0.000261;0.001569
0.000736;0.001182;0.000288;0.001703
0.0005;0.000629;0.00026;0.001532
0.0006;0.000648;0.000323;0.001585
0.000749;0.000788;0.000275;0.001579
0.00057;0.000651;0.000265;0.001479
0.000576;0.000674;0.000264;0.001581
0.000553;0.000647;0.000294;0.001964
0.000579;0.000711;0.000297;0.001728
0.000506;0.00065;0.000267;0.001519
0.000547;0.000636;0.000261;0.001517
0.001002;0.001158;0.000321;0.001747
0.00052;0.000644;0.000259;0.001579
0.000598;0.000668;0.000266;0.001581
0.000586;0.000682;0.000261;0.001568
0.000517;0.000636;0.000265;0.001498
0.00067;0.00084;0.000353;0.002029
0.000608;0.000744;0.000304;0.001871
0.000602;0.000696;0.000284;0.001691
0.000822;0.000898;0.000311;0.001728
0.000733;0.000881;0.000654;0.002619
0.000595;0.000729;0.000293;0.001871
0.000603;0.000709;0.0003;0.001738
0.00072;0.000882;0.000375;0.002186
0.000648;0.000755;0.000295;0.001745
0.000639;0.000939;0.000334;0.001789
0.000622;0.00076;0.000322;0.00206
0.001111;0.001268;0.00046;0.002778
0.000667;0.000793;0.000497;0.002312
0.000576;0.000717;0.000292;0.001673
0.000934;0.000869;0.00065;0.003335
0.000657;0.000711;0.000302;0.002186
0.000891;0.000902;0.000294;0.001656
0.001069;0.00143;0.00053;0.003808
0.000703;0.000867;0.00036;0.002055
0.001216;0.001315;0.000507;0.002919
0.001359;0.001543;0.000586;0.002808
0.000744;0.000829;0.000464;0.001531
0.000659;0.000782;0.000338;0.001937
0.00077;0.000999;0.000442;0.002074
0.001016;0.001445;0.000449;0.002636
0.000981;0.001442;0.000511;0.002626
0.000684;0.00079;0.000343;0.001823
0.000624;0.000804;0.000352;0.002298
0.000785;0.000818;0.000329;0.001916
0.000705;0.000823;0.000335;0.006357
0.000769;0.000857;0.000506;0.002142
0.00102;0.001423;0.000524;0.003065
0.001349;0.001567;0.000521;0.003317
0.000801;0.001222;0.00046;0.002922
